Year,Album,Song,Text
1997,"Greatest Lovesongs, Vol. 666",For You,"['In the grace of your love I writhe in pain', 'In 666 ways I love you and I hope you feel the same', ""I'm for you"", ""I'm killing myself for your love and again all is lost"", ""In 777 ways I love you 'til my death do us part"", ""I'm for you - and I'm dying for your love"", ""I'm for you - and my heaven is wherever you are"", 'In 666 ways I love you and my heaven is wherever', 'you are', ""I'm here for you - I am here for you"", ""I'm here for you - I am here for you\n""]"
1997,"Greatest Lovesongs, Vol. 666",Your Sweet Six Six Six,"['There are things you should know', 'And the distance between us seems to grow', ""But you're holding on strong"", 'And, oh, how hard it is to let go, oh, so hard to let go', ""I'm waiting for your call and I'm ready to take your"", 'Six six six in my heart', ""And I'm longing for your touch and I welcome your sweet"", 'Six six six in my heart (oh, my heart)', ""I'm losing my faith in you"", ""But you don't want it to be true"", ""But there's nothing you can do"", ""There is no thing you can do - yes, I've lost my faith in you"", 'Waiting for your call', ""And I'm ready to take your six six six in my heart"", 'Right here in this heart', 'Oh,', ""I'm lonely"", ""And I know it's too late"", ""Oh, my god you're so lonely"", ""I'm ready for the fall and I'm ready to take your"", 'Longing for your touch and I welcome your sweet', 'Right straight through my heart', 'Oh, right here in my heart\n']"
1997,"Greatest Lovesongs, Vol. 666",Wicked Game,"['World was on fire, no one could save me but you', ""It's strange what desire will make foolish people do"", ""I'd never dreamed that I'd need somebody like you"", ""And I'd never dreamed that I'd need somebody like you"", 'No, I wanna fall in love', '(this world is only gonna break your heart)', '..with you', 'What a wicked game to play', 'To make me feel this way', 'What a wicked thing to do', 'To let me dream of you', 'What a wicked thing to say', 'You never felt this way', 'What a wicked thing you do', 'To make me dream of you', ""No, and I never dreamed that I'd love somebody like you"", ""I'll never dream that I lose somebody like you, no"", '(This world is only gonna break your heart)', '(No, I wanna fall in love', 'No, I...', 'Nobody loves no one\n']"
1997,"Greatest Lovesongs, Vol. 666",The Heartless,"[""Your pain ain't love"", ""Can't you see he's the heartless"", 'Your pain is not love', ""He's taking it too far"", ""Don't you know it is wrong"", ""You're the one for me lady"", 'You are the one', ""If you'd only see in my heart"", ""You'd know know all is not lost"", 'Your time is running out', ""And you still haven't made up your mind"", ""And you're one of a kind"", ""He's the heartless"", ""You can't you see he's the heartless"", ""Your pain won't ever be love"", ""It doesn't matter how hard you try"", 'To you all is lost', ""He's the heartless\n""]"
1997,"Greatest Lovesongs, Vol. 666",Our Diabolikal Rapture,"['In our diabolikal rapture we live on and on', 'And death keeps knocking at our door', 'So we open the door', 'And we die a bit more', ""We're in love with death and we die on and on"", ""Won't you"", 'Close our eyes', ""We'll be by your side"", 'In your heavenly rapture we die on and on', 'And you keep waiting at our door', 'Yes we open the door', 'Let us die a bit more', ""We're in love with you and we die on and on"", 'Your love is the only thing I live for in this world', 'Oh how I wait for the day your heart burns', 'In these heavenly flames I have already scorched in', ""I just want you to know I'll always be waiting"", 'repeat]']"
1997,"Greatest Lovesongs, Vol. 666",It's All Tears (Drown In This Love),"[""I'm waiting for you to drown in"", 'my love', 'So open your arms', ""I'm waiting for you to open your arms"", 'And drown in this love', ""I'm waiting for you to drown in my love"", 'Open your arms and let me show you what love can be like', ""It's all tears and it will be 'til the end of your time"", 'Come closer my love', 'Will you let me tear your heart apart?', 'Now all hope is gone so drown in this love', 'So my love your laughter is finally turning into tears', ""And you're begging for more though the end is getting near"", 'come closer my love', ""I'll violate you in the most sensual way... until you drown in this"", 'love', 'And drown in this love\n']"
1997,"Greatest Lovesongs, Vol. 666",When Love And Death Embrace,"[""I'm in love with you"", ""And it's crushing my heart"", 'All I want is you', 'To take me into your arms', 'When love and death embrace', 'I love you', ""And you're crushing my heart"", 'I need you', 'Please take me into your arms', 'When love and death embrace\n']"
1997,"Greatest Lovesongs, Vol. 666",The Beginning Of The End,"[""Your world is coming to it's end"", ""But you don't have to be afraid - I'm here for you"", 'Save your happiness for tomorrow', ""And today we'll drown in your tears"", 'A drop of your blood tastes like wine today', 'Come closer my dear', 'It is just the beginning of the end', ""Yes, I'm here for you"", 'And because I love you so', ""And I'm here for you"", 'Your blood tastes like life today', 'Will you let it rain', 'Let it rain', ""So won't you let it rain"", 'Oh, let it rain', ""Won't you let it rain\n""]"
1997,"Greatest Lovesongs, Vol. 666",(Don't Fear) The Reaper,"['Written by Blue Oyster Cult]', 'All our times have come', ""Here but now they're gone"", ""Seasons don't fear the reaper"", 'Nor do the wind, the sun or the rain', 'We can be like they are', ""Come on baby... Don't fear the Reaper"", ""Baby take my hand... Don't fear the Reaper"", ""We'll be able to fly... Don't fear the Reaper"", ""Baby I'm your man..."", 'Valentine is done', 'Romeo and Juliet', 'Are together in eternity...', '40,000 men and women everyday... Like Romeo and Juliet', '40,000 men and women everyday... Redefine happiness', 'Another 40,000 coming everyday...We can be like they are', 'Love of two is one', 'Came the last night of sadness', ""And it was clear we couldn't go on"", 'The door was open and the wind appeared', 'The candles blew and then disappeared', 'The curtains flew and then he appeared', ""Saying don't be afraid"", 'Come on baby... And we had no fear', 'And she ran to him... Then they started to fly', 'We looked backward and said goodbye', 'We had become like they are', 'She had taken his hand', ""Come on baby...don't fear the reaper\n""]"
2000,Razorblade Romance,I Love You (Prelude To Tragedy),"['I see it in your eyes', 'I feel it in your touch', 'I taste it from your lips', 'And baby more i love you', ""Can't you see my darling"", 'That the harder i try', 'The more we grow apart', 'Please believe me', 'The sweeter the kiss', 'The colder turn your arms', 'And the colder grows your heart', ""And you're in my heart my darling"", 'The closer i get', ""The more you're out of love"", ""Don't you feel it"", 'The colder your touch', 'The more it turns me on', 'And the faster beats my heart', 'And baby more i love you\n']"
